Player,For,Against,Result,Date
 Son Heung-min,Tottenham Hotspur,Burnley,5–2 (A)[145],2 September 2023
 Ollie Watkins,Aston Villa,Brighton & Hove Albion,6–1 (H)[148],30 September 2023
 Eddie Nketiah,Arsenal,Sheffield United,5–0 (H)[149],28 October 2023
 Nicolas Jackson,Chelsea,Tottenham Hotspur,4–1 (A)[150],6 November 2023
 Dominic Solanke,Bournemouth,Nottingham Forest,3–2 (A)[151],23 December 2023
 Chris Wood,Nottingham Forest,Newcastle United,3–1 (A)[152],26 December 2023
 Elijah Adebayo,Luton Town,Brighton & Hove Albion,4–0 (H)[153],30 January 2024
 Matheus Cunha,Wolverhampton Wanderers,Chelsea,4–2 (A)[154],4 February 2024
 Phil Foden,Manchester City,Brentford,3–1 (A)[155],5 February 2024
 Phil Foden,Manchester City,Aston Villa,4–1 (H)[157],3 April 2024
 Cole Palmer,Chelsea,Manchester United,4–3 (H)[158],4 April 2024
 Erling Haaland4,Manchester City,Wolverhampton Wanderers,5–1 (H)[160],4 May 2024
 Jean-Philippe Mateta,Crystal Palace,Aston Villa,5–0 (H)[161],19 May 2024
